Date,Close
11/16/2012,1.0008
11/19/2012,0.9965
11/20/2012,0.9972
11/21/2012,0.9965
11/22/2012,0.9977
11/23/2012,0.9917
11/26/2012,0.9934
11/27/2012,0.9946
11/28/2012,0.9925
11/29/2012,0.9928
11/30/2012,0.9931
12/3/2012,0.9947
12/4/2012,0.9924
12/5/2012,0.991
12/6/2012,0.991
12/7/2012,0.9901
12/10/2012,0.9866
12/11/2012,0.9863
12/12/2012,0.9846
12/13/2012,0.985
12/14/2012,0.9863
12/17/2012,0.9837
12/18/2012,0.9857
12/19/2012,0.9875
12/20/2012,0.9871
12/21/2012,0.9935
12/24/2012,0.9915
12/25/2012,0.9931
12/26/2012,0.9939
12/27/2012,0.9945
12/28/2012,0.9963
12/31/2012,0.9921
1/1/2013,0.9934
1/2/2013,0.9857
1/3/2013,0.9878
1/4/2013,0.9869
1/7/2013,0.986
1/8/2013,0.9868
1/9/2013,0.9874
1/10/2013,0.9839
1/11/2013,0.9843
1/14/2013,0.9835
1/15/2013,0.9841
1/16/2013,0.9859
1/17/2013,0.9852
1/18/2013,0.9922
1/21/2013,0.9929
1/22/2013,0.9926
1/23/2013,0.9991
1/24/2013,1.0027
1/25/2013,1.0063
1/28/2013,1.0063
1/29/2013,1.0022
1/30/2013,1.0014
1/31/2013,0.9975
2/1/2013,0.9973
2/4/2013,0.9983
2/5/2013,0.9962
2/6/2013,0.9953
2/7/2013,0.9982
2/8/2013,1.0027
2/11/2013,1.0041
2/12/2013,1.0027
2/13/2013,1.002
2/14/2013,1.0008
2/15/2013,1.0061
2/18/2013,1.0109
2/19/2013,1.0117
2/20/2013,1.0173
2/21/2013,1.0185
2/22/2013,1.0207
2/25/2013,1.0256
2/26/2013,1.0261
2/27/2013,1.023
2/28/2013,1.0305
3/1/2013,1.027
3/4/2013,1.0278
3/5/2013,1.0274
3/6/2013,1.0315
3/7/2013,1.0288
3/8/2013,1.0295
3/11/2013,1.027
3/12/2013,1.0261
3/13/2013,1.0272
3/14/2013,1.0222
3/15/2013,1.019
3/18/2013,1.0223
3/19/2013,1.0272
3/20/2013,1.0251
3/21/2013,1.024
3/22/2013,1.0232
3/25/2013,1.0212
3/26/2013,1.0166
